tconst,primaryTitle,startYear,genres
tt0035423,Kate & Leopold,2001,"Comedy,Fantasy,Romance"
tt0036606,"Another Time, Another Place",1983,"Drama,War"
tt0038687,Let There Be Light,1980,"Documentary,War"
tt0054724,I Eat Your Skin,1971,Horror
tt0056166,Lash of Lust,1972,Western
tt0058994,Bruce's Fingers,1976,"Action,Crime,Drama"
tt0059680,Satan's Harvest,1970,Action
tt0060462,The Girls from Thunder Strip,1970,"Action,Drama"
tt0060477,Gregorio and His Angel,1970,"Drama,Family,Fantasy"
tt0060939,Santo vs. the Head Hunters,1971,"Action,Adventure,Drama"
tt0060951,A Scream in the Streets,1973,"Action,Crime"
tt0061069,Taro the Dragon Boy,1979,"Adventure,Animation,Family"
tt0061494,Cauldron of Blood,1970,"Drama,Horror,Mystery"
tt0061592,Doomsday Machine,1972,Sci-Fi
tt0061876,The Commissar,1987,"Drama,War"
tt0062342,Tarzan and the Perils of Charity Jones,1971,"Action,Adventure"
tt0062359,The Bull Buster,1973,Drama
tt0062690,Awakening of the Beast,1970,"Drama,Horror"
tt0062730,The Big Snatch,1971,"Crime,Drama"
tt0062847,"Daddy, Darling",1970,Drama
tt0062936,Enter the Game of Death,1978,"Action,Drama"
tt0062980,Fleshpot on 42nd Street,1973,Drama
tt0063018,Iron Dragon Strikes Back,1979,"Action,Drama"
tt0063070,Story of a Girl Alone,1971,Drama
tt0063132,Alien Terror,1971,"Horror,Sci-Fi"
tt0063137,The Invincible Six,1970,"Action,Adventure"
tt0063142,Isle of the Snake People,1971,"Horror,Mystery"
tt0063244,Love Toy,1971,Thriller
tt0063337,"One Day, the Nile",1972,Drama
tt0063499,Ramparts of Clay,1970,Drama
tt0063552,Hollywood Horror House,1970,"Horror,Thriller"
tt0063608,Sinthia: The Devil's Doll,1970,Horror
tt0063666,"Love, Emilia",1970,Comedy
tt0063696,Tiger by the Tail,1970,"Drama,Thriller"
tt0063751,The Howl,1970,Comedy
tt0063846,"Zorro, Rider of Vengeance",1971,"Comedy,Western"
tt0063860,The Last Day of the War,1970,"Drama,War"
tt0064004,All the Right Noises,1970,"Comedy,Drama"
tt0064021,"Love Is Gay, Love Is Sad",1971,Comedy
tt0064038,The Land,1970,Drama
tt0064076,Before the Mountain Was Moved,1970,"Documentary,Drama"
tt0064105,The Ancines Woods,1970,"Drama,Horror"
tt0064111,Bronco Bullfrog,1970,Drama
tt0064121,Comrades,1970,Drama
tt0064126,French Intrigue,1970,"Action,Crime,Drama"
tt0064143,Siege of Terror,1972,"Horror,Thriller"
tt0064144,The Circle,1970,Drama
tt0064165,The Things of Life,1970,"Drama,Romance"
tt0064170,Her and She and Him,1970,Drama
tt0064171,The Bullet Machine,1970,"Crime,Drama"
tt0064177,Colossus: The Forbin Project,1970,"Sci-Fi,Thriller"
tt0064182,Rimal min dhahab,1971,"Adventure,Drama,Romance"
tt0064225,Last Known Address,1970,"Crime,Thriller"
tt0064261,Dreams of Glass,1970,Drama
tt0064273,And God Said to Cain,1970,"Horror,Western"
tt0064279,A Crazy Night,1970,Comedy
tt0064283,An Elephant Called Slowly,1970,"Action,Adventure,Comedy"
tt0064285,The Wild Child,1970,Drama
tt0064321,The Female Bunch,1971,"Action,Crime,Drama"
tt0064322,The Woman with the Knife,2010,"Drama,Thriller"
tt0064359,The Gamblers,1970,"Comedy,Drama,Romance"
tt0064362,The Cats Are Cold,1970,Drama
tt0064372,Black Jack,1972,Comedy
tt0064385,"Shine, Shine, My Star",1970,"Comedy,Drama,Romance"
tt0064386,The Fifth Day of Peace,1970,"Drama,War"
tt0064420,The Inheritors,1970,Drama
tt0064423,Happy He Who Like Ulysses,1970,Comedy
tt0064430,Hildur and the Magician,1971,Fantasy
tt0064432,How to Play the Seduction Game,1970,Comedy
tt0064437,The Honeymoon Killers,1970,"Crime,Drama,Romance"
tt0064450,How to Succeed with Sex,1970,Comedy
tt0064451,A Touch of Zen,1971,"Action,Adventure,Drama"
tt0064465,Ice,1970,"Drama,Sci-Fi"
tt0064494,Eugenie,1970,"Drama,Horror"
tt0064510,Jenny,1970,"Drama,Romance"
tt0064522,Mr. and Mrs. Juan Lamaglia,1970,Drama
tt0064535,The Kashmiri Run,1970,"Adventure,Drama"
tt0064546,Witchhammer,1970,"Drama,History,Horror"
tt0064553,King Lear,1970,Drama
